68,"['3.4172222', '6.43685']"
69,"['-121.4947', '38.577']"
70,"['-81.83273956', '38.03078171']"
71,"['-0.1099', '51.3727']"
72,"['-122.49590779', '37.74711729']"
73,"['145.68976784', '-16.83843449']"
74,"['-106.489', '31.7658']"
75,"['77.31974', '28.58052']"
76,"['5.6226', '6.3324']"
77,"['-157.82513447', '21.27905124']"
78,"['101.64736', '3.16528']"
79,"['73.2', '22.3']"
80,"['120.40897785', '15.64799889']"
81,"['-122.0791', '37.3935']"
82,"['3.3696059', '6.6127409']"
83,"['-87.632496', '41.883222']"
84,"['-122.675', '45.5236111']"
85,"['72.8764', '19.0627']"
86,"['-122.38769', '37.75026']"
87,"['-122.19774221', '37.728013']"
88,"['139.69153906', '35.7021841']"
89,"['100.494', '13.7522']"
90,"['106.89447176', '-6.11613985']"
91,"['28.06045532', '-26.21659308']"
92,"['-73.91078056', '40.66065278']"
93,"['125.62217915', '7.07231181']"
94,"['78.401', '17.4904']"
95,"['-78.7834', '35.7872']"
96,"['78.5005327', '17.57305505']"
97,"['7.38030249', '9.11041164']"
98,"['3.51962', '6.66163966']"
99,"['-0.7761912', '53.39362057']"
100,"['77.597645', '12.971117']"
101,"['75.8167', '26.9167']"
102,"['72.8764', '19.0627']"
103,"['3.39583', '6.45306']"
104,"['3.353925', '6.60424676']"
105,"['116.8478', '-1.2468']"
106,"['-2.8810099', '53.2019857']"
107,"['-0.3412546', '51.5040109']"
108,"['-1.29032094', '52.97921536']"
109,"['-118.50113056', '34.20113889']"
110,"['-73.56726563', '45.63697547']"
111,"['101.94479343', '2.70920024']"
112,"['-120.62504543', '35.1377928']"
113,"['-2.153', '52.267']"
114,"['-8.47', '51.8972']"
115,"['-80.28091469', '25.97734614']"
116,"['15.466667', '45.25']"
117,"['-4.69379654', '50.6830695']"
118,"['-0.77614657', '53.39362533']"
119,"['30.9902', '-29.8717']"
120,"['-3.70748341', '40.41865035']"
121,"['-96.13810658', '19.13517436']"
122,"['-73.56726563', '45.63697547']"
123,"['32.0996', '-28.7827']"
124,"['2.3492', '48.8573']"
125,"['-1.89943716', '52.48416375']"
126,"['103.84694595', '1.27929057']"
127,"['-0.1094', '51.5141']"
128,"['-95.3891094', '29.7144691']"
129,"['-73.56725453', '45.75975883']"
130,"['-0.07939436', '51.47496745']"
131,"['-0.13568176', '51.49971767']"
132,"['146.39552457', '-36.0370281']"
133,"['-0.07939436', '51.47496745']"
134,"['79.59', '17.99']"
135,"['3.376923', '6.481705']"
136,"['7.1848', '51.1814']"
137,"['3.39583', '6.45306']"
138,"['-73.47935661', '45.6677507']"
139,"['103.856', '1.29306']"
140,"['4.45333', '51.92972']"
141,"['-118.1488', '34.1467']"
142,"['77.219672', '28.631747']"
143,"['174.7657', '-36.8473']"
144,"['-0.20746', '51.56851']"
145,"['-80.1617', '25.92786']"
146,"['-0.97835643', '51.45134687']"
147,"['18.38778734', '-34.01369848']"
148,"['-123.3645', '48.4287']"
149,"['-73.47935661', '45.6677507']"
150,"['0.63964', '51.80099']"
151,"['-97.73549055', '30.26585335']"
152,"['-123.12713019', '49.24963985']"
153,"['9.16986233', '45.50477609']"
154,"['75.8167', '26.9167']"
155,"['55.2741', '25.1994']"
156,"['103.856', '1.29306']"
157,"['-4.309626', '55.852472']"
