,coordinates,label
533,"32.5811,0.3136","-0.0625
"
534,"-84.3889,33.7566","0.7
"
535,"-98.44814947,29.58118032","-0.8
"
536,"-77.47,37.55","-0.05
"
537,"-73.7333,45.6","0
"
538,"103.98982511,1.35506915","0.19999999999999998
"
539,"-99.13547516,19.43757829","0.3166666666666667
"
540,"-3.99,51.62","0
"
541,"3.46949356,6.44520397","0
"
542,"-76.9815877,38.9052763","0.25
"
543,"-123.07571411,49.23587045","0.13636363636363635
"
544,"67.00277778,24.8575","-0.375
"
545,"-81.8571,26.6318","0.3125
"
546,"3.606779,6.508084","0.175
"
547,"-1.139479,51.569857","-0.0857142857142857
"
548,"-95.5652928,29.5700201","0.10681818181818184
"
549,"-79.7941,43.3325","-0.0625
"
550,"-90.2467661,38.6362117","0.25
"
551,"73.77267838,18.50779321","0.07222222222222222
"
552,"-97.14432927,49.94444901","0
"
553,"-122.56211626,45.48207946","0
"
554,"18.3513093,-34.1455883","0.5
"
555,"-70.1004,41.2815","0.5
"
556,"-0.1094,51.5141","0.44666666666666666
"
557,"-74.07805556,40.90666667","0.13636363636363635
"
558,"-77.0367,38.8951","-0.0625
"
559,"73.2,22.3","0.09074675324675324
"
560,"-83.465372,33.9216026","0.5
"
561,"-79.38512824,43.6408863","0.02291666666666667
"
562,"-63.5735,44.6462","0.15928030303030302
"
563,"-122.3244,47.3999","-0.08333333333333333
"
564,"-87.632496,41.883222","0.6
"
565,"3.39583,6.45306","0.3333333333333333
"
566,"-76.479,39.4014","0
"
567,"-80.13383099,25.79501226","0
"
568,"14.48412445,40.7481249","0.19181818181818183
"
569,"-82.78294854,28.01303557","0.15000000000000002
"
570,"-0.1094,51.5141","0.5
"
571,"-77.4795,37.57537","0.1
"
572,"-73.96555556,40.76916667","0
"
573,"74.68879755,34.2553473","0
"
574,"-79.39874167,43.64778833","0.11136363636363636
"
575,"-73.94111111,40.68333333","0.2
"
576,"-83.01747,40.09847","0
"
577,"72.83,21.17","0.22727272727272727
"
578,"-0.13608912,51.50413561","-0.3333333333333333
"
579,"-73.98644,40.75839","0
"
580,"-73.95,40.65","0.19318181818181818
"
581,"-93.5069,44.7812","0.125
"
582,"77.225759,28.589821","-0.05
"
583,"-74.0007613,40.7207559","0
"
584,"-73.94170892,40.67106927","0
"
585,"-73.1991,40.7842","0.06818181818181818
"
586,"-74.0007613,40.7207559","0.0028409090909090884
"
587,"-121.4947,38.577","0.24166666666666667
"
588,"84.9151306,26.6516991","0.6
"
589,"-75.96628547,43.04631084","-0.03181818181818183
"
590,"-117.566,33.8753","-0.05
"
591,"-0.61926196,51.98958581","0.041666666666666664
"
592,"-122.419,37.7793","0.15340909090909088
"
593,"-74.0007613,40.7207559","0.45
"
594,"-73.956787,40.672497","0.15000000000000002
"
595,"-73.7622,41.0307","0.06818181818181818
"
596,"7.4833,9.0667","0
"
597,"-118.3333,33.9455","0.5
"
598,"114.158,22.2826","0
"
599,"0.75,51.25","0
"
600,"-70.6973,-33.5977","0
"
601,"-87.9188,43.0373","0.3666666666666667
"
602,"-94.5809,39.1022","0.2
"
603,"-74.0064,40.7142","0.13068181818181818
"
604,"-84.29597233,33.93532941","0
"
605,"151.20797,-33.86751","0.25
"
606,"-73.07957,41.8305999","0
"
607,"-74.0647,40.7114","0.11212121212121212
"
608,"-74.0064,40.7142","0.28409090909090906
"
609,"-73.56725453,45.75975883","0
"
610,"-73.56725453,45.75975883","0
"
611,"-81.65,30.33","0
"
612,"0.24885803,52.02184606","0
"
613,"-49.2705,-25.4339","-0.04166666666666666
"
614,"-81.983301,28.0015992","0.4
"
615,"-87.632496,41.883222","-0.625
"
616,"8.8085,53.0763","0
"
617,"-73.56725453,45.75975883","0.4
"
618,"-121.98388,37.22215","0
"
619,"-122.675,45.5236111","0
"
620,"-72.6666707,41.5436764","-0.0625
"
621,"-99.13547516,19.43757829","0.35
"
622,"-1.63191925,53.84618623","0.4266666666666667
"
623,"-0.316667,51.5","0
"
624,"-97.73549055,30.26585335","0.007272727272727269
"
625,"18.462,-33.7972","0.25
"
626,"-72.5981195,44.15253213","0.04545454545454545
"
627,"-87.61653543,41.8618412","0
"
628,"30.58269,-22.472734","-0.0625
"
629,"4.4255,50.922","-0.1
"
630,"-74.0226,40.7776","0.34545454545454546
"
631,"-122.33374221,47.7321167","0.5
"
632,"-118.472778,34.051667","0
"
633,"116.29766273,39.93033344","0.2777777777777778
"
634,"-112.13867292,35.65369371","0
"
635,"-87.632496,41.883222","0.625
"
636,"12.50347746,41.89702475","0.8
"
637,"-115.149,36.1675","-0.5
"
638,"-87.79099393,41.51165223","-0.19444444444444448
"
639,"-82.5116794,27.9639971","0.4
"
