word,frequency
@nygovcuomo:,156.0
38%,156.0
milk,156.0
spreading,156.0
wanted,156.0
corona-virus,156.0
survey,155.0
goes,155.0
decided,155.0
solace,154.0
@briantylercohen:,154.0
realize,154.0
showing,154.0
system,154.0
reason,154.0
researchers,153.0
@tomfitton:,153.0
staying,153.0
niggas,153.0
writing,152.0
morning,152.0
languages,152.0
staysafestayhome,152.0
obligatory,151.0
compliments,151.0
fear,151.0
change,150.0
florida,150.0
between,149.0
bring,149.0
chin,149.0
x,149.0
difficult,149.0
pledge,148.0
died,148.0
(1300,147.0
words),147.0
rt:,147.0
translate,147.0
describe,147.0
disease,147.0
@jhaushofer:,147.0
expect,147.0
000,146.0
worried,145.0
pray,145.0
guess,145.0
happy,145.0
havent,145.0
poor,145.0
lmao,145.0
@_ashlee_4_:,145.0
parents,145.0
corona:,144.0
south,144.0
mind,144.0
janta,144.0
mentally,144.0
@rahulgandhi,144.0
buy,144.0
starting,143.0
moment,143.0
@michaelirvin88,143.0
true,143.0
symptom,143.0
@goldengateblond:,143.0
level,143.0
related,142.0
dog,142.0
@indiewashere:,142.0
&gt,142.0
partying,142.0
gen,142.0
hey,141.0
treatment,141.0
comes,140.0
playing,140.0
ridiculously,140.0
vaccine,140.0
whats,140.0
edits,139.0
inflated,139.0
crazy,139.0
threat,139.0
informed,139.0
prices:,138.0
remind,138.0
@whitehouse,138.0
fake,138.0
@,138.0
@evielawson:,138.0
washington,137.0
sky,137.0
worst,136.0
fox,136.0
30,136.0
problem,135.0
type,134.0
faster,134.0
season,134.0
protect,134.0
@michaeldapaah:,134.0
eating,134.0
co/6jhqmrcvjt,133.0
entirely,133.0
tomorrow,133.0
plies,133.0
able,133.0
19,133.0
given,132.0
weak,132.0
asian,132.0
update,132.0
heart,131.0
service,131.0
information,130.0
mask,130.0
found,130.0
lady,130.0
prove,129.0
we're,129.0
celebrities,129.0
blood,129.0
kind,129.0
continue,129.0
relief,129.0
college,129.0
kills,128.0
company,128.0
challenge,128.0
economic,128.0
"ji",128.0
businesses,128.0
mr,128.0
girl,127.0
join,127.0
hell,127.0
fine,127.0
idiots,127.0
boris,127.0
extremely,127.0
weather,127.0
understand,126.0
play,125.0
prayers,125.0
isn't,125.0
walking,125.0
@aynrandpaulryan:,125.0
fire,124.0
nazi,124.0
uk,124.0
others,123.0
decide,123.0
nigerians,123.0
despite,123.0
bored,123.0
latest,122.0
decompensated,122.0
pick,122.0
@shehzad_ind:,121.0
whitehousebr,121.0
casualty,121.0
shoulder,120.0
safety,120.0
honestly,120.0
population,120.0
na,120.0
cough,119.0
elizabeth,119.0
bre,119.0
deal,119.0
dynasty,118.0
link,118.0
relations,118.0
yo,118.0
e,117.0
france,117.0
effective,117.0
daily,117.0
ones,117.0
criminal,117.0
@petersweden7:,117.0
here's,116.0
videos,116.0
till,116.0
entire,116.0
nobody,116.0
revolted,116.0
jesus,116.0
scared,115.0
indians,115.0
high,115.0
nice,115.0
analysis,115.0
february,115.0
less,114.0
friend,114.0
power,114.0
paedophile,114.0
didn't,113.0
history,113.0
law,113.0
trumps,113.0
article,113.0
100%,113.0
classic,113.0
families,113.0
breaking,112.0
asking,112.0
glad,112.0
indian,112.0
current,112.0
bernie,112.0
dirty,111.0
within,111.0
sign,111.0
national,111.0
patient,111.0
line,111.0
johnson,110.0
cdc,110.0
@tife_fabunmi:,110.0
intentionally,110.0
pub,110.0
90%,110.0
mid,110.0
firing,110.0
indias,110.0
@eriksolheim:,109.0
defeat,109.0
near,109.0
cancel,109.0
80,109.0
diane,109.0
i'll,109.0
rid,109.0
danger,109.0
though,109.0
bbc,109.0
following,109.0
negative,108.0
cold,108.0
fun,108.0
children,108.0
head,108.0
answer,108.0
speaks,108.0
happened,108.0
felt,107.0
become,107.0
second,107.0
sitting,107.0
"them:",107.0
facing,107.0
issue,107.0
@youtube,106.0
joke,106.0
especially,106.0
wearing,106.0
drink,106.0
community,106.0
mitigation,106.0
@edanyago:,106.0
@miekeeoyang:,106.0
hot,106.0
further,106.0
professi,106.0
spur,106.0
proud,106.0
6,106.0
theyre,105.0
elections,105.0
stopped,105.0
@tananarivedue:,105.0
malaria,105.0
sad,105.0
cuz,105.0
local,105.0
abbott,105.0
filming,105.0
leaders,105.0
coro,105.0
knew,105.0
ya,105.0
frontlin,104.0
pass,104.0
works,104.0
@clairecmc:,104.0
age,104.0
holby,104.0
doze,104.0
@katiephang:,104.0
gotta,103.0
tik,103.0
vile,103.0
tfw,103.0
knows,103.0
thousands,103.0
handling,103.0
everyones,103.0
ji,103.0
antibiotics,103.0
8,103.0
music,102.0
jantacurfew,102.0
intend,102.0
@maryamnsharif:,102.0
aggressive,102.0
netanyahu,102.0
amazing,102.0
@d_psycho_guru:,102.0
@realsaavedra:,102.0
locked,102.0
consider,102.0
measures,102.0
@atrupar:,102.0
plans,101.0
side,101.0
nigerian,101.0
available,101.0
tok,101.0
prevent,101.0
corrupt,101.0
@umarkamani,101.0
formal,100.0
substituted,100.0
dawg,100.0
market,100.0
allowed,100.0
|,100.0
'chinese:',100.0
absolutely,100.0
set,100.0
@no_silenced:,100.0
game,99.0
announce,99.0
dick,99.0
jobs,99.0
exactly,99.0
thinks,99.0
fever,99.0
@complex:,99.0
whether,99.0
healthy,99.0
birthday,99.0
co/eyidd6xbas,98.0
normal,98.0
seeing,98.0
paid,98.0
40%,98.0
learn,98.0
co/eixynh6xsa,98.0
tha,98.0
minister,97.0
afford,97.0
nigga,97.0
future,97.0
impeaching,97.0
economy,97.0
2020:,97.0
rest,97.0
9pm,97.0
citizens,97.0
rather,97.0
spain,97.0
million,97.0
chat,96.0
speechwriters,96.0
22nd,96.0
y'all,96.0
strengthen,96.0
appeal,96.0
losing,96.0
reported,96.0
australia,96.0
"november",96.0
cooked,95.0
total,95.0
strike,95.0
run,95.0
large,95.0
looked,95.0
kits,95.0
co/dsklcbu5nx,95.0
9,95.0
travel,95.0
question,95.0
donald,94.0
feb,94.0
numbers,94.0
humanity,94.0
student,94.0
@ageniesayswhat:,94.0
@fenwaystrat:,94.0
creative,93.0
nations,93.0
@caucasianjames:,93.0
co/0lxqtvz5ts,93.0
hospitals,93.0
research,93.0
votes,93.0
alone,93.0
@nmwdesign:,93.0
me:,92.0
rights,92.0
common,92.0
sprout,92.0
caused,92.0
soil,92.0
vigilan,92.0
pretext,92.0
drug,92.0
strong,92.0
powers,92.0
15000,92.0
washing,92.0
co/mf8pwvi1bx,92.0
handle,91.0
killed,91.0
officially,91.0
351k,91.0
centre,91.0
tips,91.0
potus,90.0
ends,90.0
wonder,90.0
recent,90.0
font,90.0
cannot,90.0
gon,90.0
five,90.0
harry,90.0
rate,89.0
@_hublette:,89.0
@jmclaughlinsais:,89.0
questions,89.0
couple,89.0
responsibility,89.0
bless,89.0
happen,89.0
achieve,89.0
worry,88.0
living,88.0
flight,88.0
result,88.0
li,88.0
pubs,88.0
happening,88.0
whatsapp,88.0
fellow,88.0
stands,88.0
higher,88.0
tf,87.0
water,87.0
move,87.0
battle,87.0
released,87.0
women,87.0
viruses,87.0
clear,87.0
anxiety,87.0
totally,87.0
freaking,86.0
+,86.0
virus:,86.0
