,word,positive,negative
597,supposed,17,3
598,american,11,6
599,broke,18,7
600,nation,18,5
601,o,16,5
602,wash,19,8
603,defend,16,5
604,state,20,6
605,chloroquine,16,3
606,shot,21,8
607,hospital,16,5
608,book,18,6
609,maybe,15,4
610,reminds,15,9
611,dies,15,7
612,wont,19,8
613,myself,17,2
614,pls,17,5
615,part,16,5
616,such,16,9
617,bro,11,6
618,wasnt,18,3
619,gone,12,6
620,seriously,16,8
621,twitter,21,3
622,definitely,12,7
623,toilet,16,6
624,reasoning,16,5
625,far,17,11
626,cancelled,7,0
627,he's,0,0
628,@redtraccoon:,16,5
629,leave,11,6
630,okay,16,4
631,modi,21,6
632,@daniela_florezz:,14,8
633,l,16,4
634,wait,15,4
635,giving,14,5
636,close-up,13,7
637,thanks,13,8
638,medical,13,2
639,countries,19,7
640,culture,19,8
641,12,19,6
642,misinformation,16,5
643,won't,0,0
644,gets,9,8
645,focused,12,8
646,b,14,7
647,yet,18,6
648,another,19,8
649,open,18,9
650,hear,15,4
651,doctors,15,6
652,theres,19,8
653,curfew,19,9
654,finally,14,11
655,face,14,8
656,class,14,7
657,@catturd2:,16,2
658,yes,13,5
659,co/aszij,16,2
660,job,9,6
661,mere,16,4
662,short,12,7
663,business,14,13
664,th,19,7
665,distancing,17,4
666,few,9,8
667,error,16,4
668,@teapainusa:,10,8
669,ill,23,7
670,bc,15,8
671,singing,16,5
672,staff,20,7
673,plannednot,16,4
674,@sethabramson:,16,4
675,doesnt,13,7
676,young,9,6
677,left,17,2
678,let's,0,0
679,n,18,8
680,co/xreh1klvt8,22,7
681,waiting,13,6
682,oh,15,6
683,little,13,12
684,dr,14,4
685,worse,15,11
686,words,10,6
687,pakistan,12,5
688,inside,15,2
689,told,12,1
690,stats,12,6
691,dumb,12,8
692,@briankarem:,19,7
693,pres,11,7
694,covid_19,15,5
695,deaths,11,10
696,send,9,4
697,corn,10,2
698,accuracy,12,7
699,somewhere,12,7
700,immune,18,7
701,w,10,4
702,vir,16,7
703,beat,14,3
704,medicine,15,3
705,lost,13,6
706,that's,0,0
707,lockdown,9,12
708,place,15,11
709,incorrectness,10,3
710,months,13,3
711,@corona,20,4
712,@dineshdsouza:,10,3
713,endearing,10,3
714,anything,10,4
715,qualities,10,3
716,tweet,19,7
717,started,17,3
718,co,9,8
719,notice,17,5
720,dying,14,4
721,miami,14,6
722,speech,17,3
723,c,11,5
724,saw,9,6
725,number,13,3
726,'corona',0,0
727,i've,0,0
728,outside,7,3
729,hit,15,10
730,member,10,8
731,places,10,5
732,hi,17,4
733,planned,15,3
734,makes,9,11
735,tests,12,3
736,instead,11,6
737,nigeria,15,4
738,ago,10,8
739,@denzelhd:,16,7
740,studio,12,5
741,address,16,0
742,d,7,3
743,panic,9,6
744,sha,8,5
745,ready,12,5
746,spoke,9,6
747,sincerely,10,7
748,least,15,5
749,g,15,7
750,party,15,7
751,ways,17,5
752,"corona",0,0
753,aged,12,2
754,both,10,12
755,single,14,6
756,full,12,3
757,lives,7,2
758,small,16,4
759,grow,13,2
760,dead,12,5
761,turn,12,10
762,7,15,2
763,roll,13,4
764,taken,11,2
765,sean,13,3
766,@abc:,9,6
767,possible,11,2
768,dangerous,11,4
769,night,13,3
770,different,8,4
771,thread,10,6
772,means,13,7
773,brought,12,9
774,pay,9,4
775,treat,16,3
776,truth,11,7
777,54,12,3
778,hospitalized,11,2
779,almost,15,8
780,america,14,4
781,mean,13,8
782,yeah,13,4
783,putting,15,3
784,selfish,9,5
785,ramona,11,5
786,piece,9,7
787,mom,10,6
788,forget,9,2
789,doesn't,0,0
790,either,10,5
791,selling,13,5
792,@damii_aros:,11,5
793,month,8,2
794,mayorkun,11,5
795,there's,0,0
796,volunteers,6,5
797,hours,14,1
798,running,9,7
799,10,17,6
