,word,frequency
460,@davidjollyfl:,328.0
461,@narendramodi,327.0
462,enough,327.0
463,proof,325.0
464,message,325.0
465,2020,323.0
466,violence,322.0
467,post-corona,321.0
468,americans,321.0
469,thats,317.0
470,talking,317.0
471,al,316.0
472,fact,316.0
473,says,314.0
474,looking,312.0
475,hands,312.0
476,shar,312.0
477,@amy_siskind:,311.0
478,together,311.0
479,aint,310.0
480,symptoms,310.0
481,students,310.0
482,city,310.0
483,canada,309.0
484,r,309.0
485,dogshit,307.0
486,@chrisdelia:,307.0
487,dey,307.0
488,sent,307.0
489,free,306.0
490,start,306.0
491,s,305.0
492,setting,305.0
493,public,303.0
494,govt,302.0
495,political,302.0
496,psa,301.0
497,done,301.0
498,post,301.0
499,emergency,300.0
500,care,300.0
501,follow,299.0
502,doctor,298.0
503,always,298.0
504,wuhan,296.0
505,domestic,296.0
506,et,295.0
507,own,295.0
508,tactic,295.0
509,body,295.0
510,jojos,294.0
511,week,294.0
512,raci,293.0
513,@mrjoncryer:,292.0
514,co/swpumqmjjj,291.0
515,@brettsvergara:,291.0
516,ringtone,291.0
517,read,290.0
518,outbreak,290.0
519,@mollyjongfast:,288.0
520,patients,287.0
521,needs,285.0
522,excuse,284.0
523,talk,282.0
524,next,282.0
525,until,282.0
526,save,281.0
527,came,281.0
528,used,280.0
529,ive,279.0
530,ur,279.0
531,ex,278.0
532,idea,278.0
533,ok,278.0
534,nothing,278.0
535,longer,278.0
536,self,275.0
537,beer,274.0
538,worth,274.0
539,catch,273.0
540,5,273.0
541,isnt,272.0
542,confirmed,271.0
543,heard,271.0
544,old,270.0
545,tryna,270.0
546,@hey_ciara:,269.0
547,team,269.0
548,risk,269.0
549,co/5w0uk2qvxd,269.0
550,dc,268.0
551,task,268.0
552,wow,267.0
553,taking,267.0
554,give,265.0
555,imagine,265.0
556,20,263.0
557,youre,262.0
558,lagos,262.0
559,thank,261.0
560,important,261.0
561,"2020:",259.0
562,thinking,257.0
563,break,257.0
564,wrong,257.0
565,sanitizer,256.0
566,death,250.0
567,avoid,250.0
568,killing,250.0
569,probably,250.0
570,workers,250.0
571,human,249.0
572,covid,249.0
573,online,249.0
574,stupid,247.0
575,damn,247.0
576,lot,246.0
577,sure,246.0
578,yourself,245.0
579,cop,245.0
580,hold,244.0
581,seems,244.0
582,isolation,244.0
583,baby,242.0
584,withou,241.0
585,@timothynoah1:,241.0
586,didnt,240.0
587,yesterday,240.0
588,coronavirusupdate,239.0
589,hard,238.0
590,general,236.0
591,infected,236.0
592,funny,236.0
593,iran,235.0
594,check,235.0
595,watching,235.0
596,wants,234.0
597,supposed,234.0
598,american,234.0
599,broke,233.0
600,nation,232.0
601,o,232.0
602,wash,232.0
603,defend,232.0
604,state,231.0
605,chloroquine,231.0
606,shot,231.0
607,hospital,231.0
608,book,230.0
609,maybe,230.0
610,reminds,230.0
611,dies,230.0
612,wont,229.0
613,myself,229.0
614,pls,228.0
615,part,227.0
616,such,227.0
617,bro,227.0
618,wasnt,225.0
619,gone,224.0
620,seriously,224.0
621,twitter,223.0
622,definitely,223.0
623,toilet,222.0
624,reasoning,222.0
625,far,222.0
626,cancelled,221.0
627,he's,220.0
628,@redtraccoon:,220.0
629,leave,220.0
630,okay,220.0
631,modi,219.0
632,@daniela_florezz:,219.0
633,l,219.0
634,wait,218.0
635,giving,217.0
636,close-up,216.0
637,thanks,216.0
638,medical,216.0
639,countries,215.0
640,culture,214.0
641,12,214.0
642,misinformation,214.0
643,won't,214.0
644,gets,213.0
645,focused,213.0
646,b,213.0
647,yet,212.0
648,another,212.0
649,open,212.0
650,hear,211.0
651,doctors,211.0
652,theres,211.0
653,curfew,211.0
654,finally,210.0
655,face,209.0
656,class,208.0
657,@catturd2:,208.0
658,yes,208.0
659,co/aszij,208.0
660,job,207.0
661,mere,207.0
662,short,206.0
663,business,205.0
664,th,205.0
665,distancing,205.0
666,few,205.0
667,error,205.0
668,@teapainusa:,204.0
669,ill,203.0
670,bc,203.0
671,singing,203.0
672,staff,202.0
673,plannednot,202.0
674,@sethabramson:,202.0
675,doesnt,202.0
676,young,201.0
677,left,201.0
678,let's,201.0
679,n,201.0
680,co/xreh1klvt8,200.0
681,waiting,199.0
682,oh,199.0
683,little,199.0
684,dr,199.0
685,worse,199.0
686,words,198.0
687,pakistan,198.0
688,inside,198.0
689,told,196.0
690,stats,194.0
691,dumb,194.0
692,@briankarem:,194.0
693,pres,193.0
694,covid_19,192.0
695,deaths,192.0
696,send,192.0
697,corn,192.0
698,accuracy,192.0
699,somewhere,191.0
700,immune,191.0
701,w,190.0
702,vir,190.0
703,beat,190.0
704,medicine,190.0
705,lost,189.0
706,that's,189.0
707,lockdown,188.0
708,place,187.0
709,incorrectness,187.0
710,months,187.0
711,@corona,187.0
712,@dineshdsouza:,187.0
713,endearing,187.0
714,anything,187.0
715,qualities,187.0
716,tweet,186.0
717,started,186.0
718,co,185.0
719,notice,185.0
720,dying,185.0
721,miami,185.0
722,speech,185.0
723,c,185.0
724,saw,184.0
725,number,182.0
726,'corona',182.0
727,i've,182.0
728,outside,182.0
729,hit,181.0
730,member,181.0
731,places,181.0
732,hi,179.0
733,planned,179.0
734,makes,179.0
735,tests,179.0
736,instead,179.0
737,nigeria,178.0
738,ago,177.0
739,@denzelhd:,177.0
740,studio,177.0
741,address,176.0
742,d,176.0
743,panic,176.0
744,sha,175.0
745,ready,175.0
746,spoke,175.0
747,sincerely,175.0
748,least,175.0
749,g,175.0
750,party,174.0
751,ways,173.0
752,"corona",173.0
753,aged,173.0
754,both,173.0
755,single,172.0
756,full,172.0
757,lives,172.0
758,small,172.0
759,grow,171.0
760,dead,171.0
761,turn,171.0
762,7,171.0
763,roll,170.0
764,taken,170.0
765,sean,170.0
766,@abc:,169.0
767,possible,169.0
768,dangerous,169.0
769,night,169.0
770,different,169.0
771,thread,169.0
772,means,169.0
773,brought,168.0
774,pay,167.0
775,treat,166.0
776,truth,165.0
777,54,165.0
778,hospitalized,165.0
779,almost,165.0
780,america,164.0
781,mean,164.0
782,yeah,164.0
783,putting,164.0
784,selfish,164.0
785,ramona,163.0
786,piece,163.0
787,mom,163.0
788,forget,163.0
789,doesn't,162.0
790,either,162.0
791,selling,162.0
792,@damii_aros:,162.0
793,month,162.0
794,mayorkun,162.0
795,there's,162.0
796,volunteers,161.0
797,hours,160.0
798,running,160.0
799,10,160.0
800,bill,160.0
801,stuff,160.0
802,evidence,159.0
803,ask,159.0
804,payton,159.0
805,fault,159.0
806,wish,158.0
807,plan,158.0
808,edited,158.0
809,internet,158.0
810,shut,158.0
811,april,158.0
812,id,157.0
813,you're,157.0
814,ebola,157.0
815,@nygovcuomo:,156.0
816,38%,156.0
817,milk,156.0
818,spreading,156.0
819,wanted,156.0
820,corona-virus,156.0
821,survey,155.0
822,goes,155.0
823,decided,155.0
824,solace,154.0
825,@briantylercohen:,154.0
826,realize,154.0
827,showing,154.0
828,system,154.0
829,reason,154.0
830,researchers,153.0
831,@tomfitton:,153.0
832,staying,153.0
833,niggas,153.0
834,writing,152.0
835,morning,152.0
836,languages,152.0
837,staysafestayhome,152.0
838,obligatory,151.0
839,compliments,151.0
840,fear,151.0
841,change,150.0
842,florida,150.0
843,between,149.0
844,bring,149.0
845,chin,149.0
846,x,149.0
847,difficult,149.0
848,pledge,148.0
849,died,148.0
850,(1300,147.0
851,words),147.0
852,rt:,147.0
853,translate,147.0
854,describe,147.0
855,disease,147.0
856,@jhaushofer:,147.0
857,expect,147.0
858,000,146.0
859,worried,145.0
860,pray,145.0
861,guess,145.0
862,happy,145.0
863,havent,145.0
864,poor,145.0
865,lmao,145.0
866,@_ashlee_4_:,145.0
867,parents,145.0
868,corona:,144.0
869,south,144.0
870,mind,144.0
871,janta,144.0
872,mentally,144.0
873,@rahulgandhi,144.0
874,buy,144.0
875,starting,143.0
876,moment,143.0
877,@michaelirvin88,143.0
878,true,143.0
879,symptom,143.0
880,@goldengateblond:,143.0
881,level,143.0
882,related,142.0
883,dog,142.0
884,@indiewashere:,142.0
885,&gt,142.0
886,partying,142.0
887,gen,142.0
888,hey,141.0
889,treatment,141.0
890,comes,140.0
891,playing,140.0
892,ridiculously,140.0
893,vaccine,140.0
894,whats,140.0
895,edits,139.0
896,inflated,139.0
897,crazy,139.0
898,threat,139.0
899,informed,139.0
900,prices:,138.0
901,remind,138.0
902,@whitehouse,138.0
903,fake,138.0
904,@,138.0
905,@evielawson:,138.0
906,washington,137.0
907,sky,137.0
908,worst,136.0
909,fox,136.0
910,30,136.0
911,problem,135.0
912,type,134.0
913,faster,134.0
914,season,134.0
915,protect,134.0
916,@michaeldapaah:,134.0
917,eating,134.0
918,co/6jhqmrcvjt,133.0
919,entirely,133.0
920,tomorrow,133.0
921,plies,133.0
922,able,133.0
923,19,133.0
924,given,132.0
925,weak,132.0
926,asian,132.0
927,update,132.0
928,heart,131.0
929,service,131.0
930,information,130.0
931,mask,130.0
932,found,130.0
933,lady,130.0
934,prove,129.0
935,we're,129.0
936,celebrities,129.0
937,blood,129.0
938,kind,129.0
939,continue,129.0
940,relief,129.0
941,college,129.0
942,kills,128.0
943,company,128.0
944,challenge,128.0
945,economic,128.0
946,"ji",128.0
947,businesses,128.0
948,mr,128.0
949,girl,127.0
950,join,127.0
951,hell,127.0
952,fine,127.0
953,idiots,127.0
954,boris,127.0
955,extremely,127.0
956,weather,127.0
957,understand,126.0
958,play,125.0
959,prayers,125.0
960,isn't,125.0
961,walking,125.0
962,@aynrandpaulryan:,125.0
963,fire,124.0
964,nazi,124.0
965,uk,124.0
966,others,123.0
967,decide,123.0
968,nigerians,123.0
969,despite,123.0
970,bored,123.0
971,latest,122.0
972,decompensated,122.0
973,pick,122.0
974,@shehzad_ind:,121.0
975,whitehousebr,121.0
976,casualty,121.0
977,shoulder,120.0
978,safety,120.0
979,honestly,120.0
980,population,120.0
981,na,120.0
982,cough,119.0
983,elizabeth,119.0
984,bre,119.0
985,deal,119.0
986,dynasty,118.0
987,link,118.0
988,relations,118.0
989,yo,118.0
990,e,117.0
991,france,117.0
992,effective,117.0
993,daily,117.0
994,ones,117.0
995,criminal,117.0
996,@petersweden7:,117.0
997,here's,116.0
998,videos,116.0
999,till,116.0
1000,entire,116.0
1001,nobody,116.0
1002,revolted,116.0
1003,jesus,116.0
1004,scared,115.0
1005,indians,115.0
1006,high,115.0
1007,nice,115.0
1008,analysis,115.0
1009,february,115.0
1010,less,114.0
1011,friend,114.0
1012,power,114.0
1013,paedophile,114.0
1014,didn't,113.0
1015,history,113.0
1016,law,113.0
1017,trumps,113.0
1018,article,113.0
1019,100%,113.0
1020,classic,113.0
1021,families,113.0
1022,breaking,112.0
1023,asking,112.0
1024,glad,112.0
1025,indian,112.0
1026,current,112.0
1027,bernie,112.0
1028,dirty,111.0
1029,within,111.0
1030,sign,111.0
1031,national,111.0
1032,patient,111.0
1033,line,111.0
1034,johnson,110.0
1035,cdc,110.0
1036,@tife_fabunmi:,110.0
1037,intentionally,110.0
1038,pub,110.0
1039,90%,110.0
1040,mid,110.0
1041,firing,110.0
1042,indias,110.0
1043,@eriksolheim:,109.0
1044,defeat,109.0
1045,near,109.0
1046,cancel,109.0
1047,80,109.0
1048,diane,109.0
1049,i'll,109.0
1050,rid,109.0
1051,danger,109.0
1052,though,109.0
1053,bbc,109.0
1054,following,109.0
1055,negative,108.0
1056,cold,108.0
1057,fun,108.0
1058,children,108.0
1059,head,108.0
1060,answer,108.0
1061,speaks,108.0
1062,happened,108.0
1063,felt,107.0
1064,become,107.0
1065,second,107.0
1066,sitting,107.0
1067,"them:",107.0
1068,facing,107.0
1069,issue,107.0
1070,@youtube,106.0
1071,joke,106.0
1072,especially,106.0
1073,wearing,106.0
1074,drink,106.0
1075,community,106.0
1076,mitigation,106.0
1077,@edanyago:,106.0
1078,@miekeeoyang:,106.0
1079,hot,106.0
1080,further,106.0
1081,professi,106.0
1082,spur,106.0
1083,proud,106.0
1084,6,106.0
1085,theyre,105.0
1086,elections,105.0
1087,stopped,105.0
1088,@tananarivedue:,105.0
1089,malaria,105.0
1090,sad,105.0
1091,cuz,105.0
1092,local,105.0
1093,abbott,105.0
1094,filming,105.0
1095,leaders,105.0
1096,coro,105.0
1097,knew,105.0
1098,ya,105.0
1099,frontlin,104.0
1100,pass,104.0
1101,works,104.0
1102,@clairecmc:,104.0
1103,age,104.0
1104,holby,104.0
1105,doze,104.0
1106,@katiephang:,104.0
1107,gotta,103.0
1108,tik,103.0
1109,vile,103.0
1110,tfw,103.0
1111,knows,103.0
1112,thousands,103.0
1113,handling,103.0
1114,everyones,103.0
1115,ji,103.0
1116,antibiotics,103.0
1117,8,103.0
1118,music,102.0
1119,jantacurfew,102.0
1120,intend,102.0
1121,@maryamnsharif:,102.0
1122,aggressive,102.0
1123,netanyahu,102.0
1124,amazing,102.0
1125,@d_psycho_guru:,102.0
1126,@realsaavedra:,102.0
1127,locked,102.0
1128,consider,102.0
1129,measures,102.0
1130,@atrupar:,102.0
1131,plans,101.0
1132,side,101.0
1133,nigerian,101.0
1134,available,101.0
1135,tok,101.0
1136,prevent,101.0
1137,corrupt,101.0
1138,@umarkamani,101.0
1139,formal,100.0
1140,substituted,100.0
1141,dawg,100.0
1142,market,100.0
1143,allowed,100.0
1144,|,100.0
1145,'chinese:',100.0
1146,absolutely,100.0
1147,set,100.0
1148,@no_silenced:,100.0
1149,game,99.0
1150,announce,99.0
1151,dick,99.0
1152,jobs,99.0
1153,exactly,99.0
1154,thinks,99.0
1155,fever,99.0
1156,@complex:,99.0
